# Time (MET) Delta_Time Flux(ph cm-2 s-1) Delta_Flux Index Delta_Index TS Npred
242524469.973	604468.973	1.31388398694e-07	4.51418021008e-08	2.0	0.0	178.151202552	118.909415163
243733407.919	604468.9735	6.47825493382e-08	1.8747258669e-08	2.0	0.0	156.90827508	54.4128215842
244942345.866	604468.973	3.62472439648e-08	1.97814815606e-08	2.0	0.0	68.44294124	29.9208639707
246151283.812	604468.973	5.32128785866e-08	1.72911727595e-08	2.0	0.0	124.300139396	61.587725213
247360221.758	604468.9735	4.54427678718e-08	1.595910179e-08	2.0	0.0	85.8860886414	50.5280305974
248569159.705	604468.973	5.53591789326e-08	1.82267810651e-08	2.0	0.0	97.6422034048	43.7118006501
249778097.651	604468.9735	3.43485753757e-08	1.88411610985e-08	2.0	0.0	79.9296296448	31.6487277879
250987035.598	604468.973	4.65450460764e-08	1.90042059539e-08	2.0	0.0	68.3379890723	50.4514076221
252195973.544	604468.973	7.12008810063e-08	2.89985653767e-08	2.0	0.0	88.3641517966	64.0851280561
253404911.49	604468.9735	9.26579517897e-08	3.08833670677e-08	2.0	0.0	82.2391742547	59.5640523523
254613849.437	604468.973	3.76184017399e-08	1.61355610286e-08	2.0	0.0	121.597178009	38.8691184009
255822787.383	604468.973	5.9187286106e-08	1.80322408357e-08	2.0	0.0	188.10182544	68.4858796344
257031725.33	604468.9735	1.25532590759e-07	2.23077700976e-08	2.0	0.0	114.294680522	98.5952163231
258240663.276	604468.973	4.80698101045e-08	2.3704498215e-08	2.0	0.0	57.9159932964	23.0980494523
259449601.222	604468.973	6.52814705348e-08	2.17427655771e-08	2.0	0.0	129.125942897	62.1645245046
260658539.169	604468.9735	1.0525608572e-07	2.68372004616e-08	2.0	0.0	195.562389697	105.913279842
261867477.115	604468.973	1.42556000094e-07	3.75866532564e-08	2.0	0.0	175.455893002	104.947107859
263076415.061	604468.973	9.14327760131e-08	2.93477066122e-08	2.0	0.0	84.2120539342	53.6190644545
264285353.007	604468.9735	1.05953865515e-07	2.74358312035e-08	2.0	0.0	148.073630649	93.7191395916
265494290.954	604468.973	9.76781833859e-08	2.60477213012e-08	2.0	0.0	187.793635581	103.669663995
266703228.9	604468.9735	5.24192147286e-08	1.46475894212e-08	2.0	0.0	215.334775067	53.5045223692
267912166.847	604468.973	2.29173022959e-07	2.90734520713e-08	2.0	0.0	217.950143032	146.067900715
269121104.793	604468.973	1.34255778104e-07	3.07411738046e-08	2.0	0.0	277.840769801	132.942656318
270330042.739	604468.9735	1.03755582675e-07	1.93359544891e-08	2.0	0.0	97.5896232986	85.3284950266
271538980.686	604468.973	4.99383599124e-08	1.90640618116e-08	2.0	0.0	119.109307057	43.5711108453
272747918.632	604468.973	7.50693915337e-08	2.11650557008e-08	2.0	0.0	150.211862874	63.6602646907
273956856.579	604468.9735	1.21673245948e-07	3.62648689205e-08	2.0	0.0	98.4715895525	81.4592226297
275165794.525	604468.973	6.5130694983e-08	1.9948629465e-08	2.0	0.0	150.770878662	53.2604767546
277583670.418	604468.9735	2.1443972129e-08	1.23096241732e-08	2.0	0.0	41.7715752519	19.0185988297
278792608.364	604468.973	2.24121394781e-08	1.35014444565e-08	2.0	0.0	47.0818600465	19.9039072851
280001546.311	604468.9735	2.92977355506e-08	1.73650232885e-08	2.0	0.0	49.4296325372	23.8015912665
281210484.257	604468.973	1.23442990531e-07	2.180932342e-08	2.0	0.0	116.621413569	81.5890478827
282419422.203	604468.973	5.06992923876e-08	2.06229398407e-08	2.0	0.0	108.567634498	43.7512254625
283628360.15	604468.9735	2.9633481061e-08	1.10051610166e-08	2.0	0.0	114.79834804	30.1863458694
284837298.096	604468.973	5.61174228114e-08	2.32333949358e-08	2.0	0.0	75.2952156981	42.0690852982
286046236.042	604468.973	7.14293183664e-08	2.63368664894e-08	2.0	0.0	127.556802247	54.6295306268
287255173.988	604468.9735	1.07665539497e-07	4.5553551501e-08	2.0	0.0	79.9990100333	64.1078578978
288464111.935	604468.973	3.29891465879e-08	2.29419714574e-08	2.0	0.0	38.3111494893	22.6953064581
289673049.881	604468.973	9.71649714062e-08	2.10872565031e-08	2.0	0.0	56.4528608604	61.6603198624
290881987.827	604468.9735	7.83060618783e-08	2.64235419998e-08	2.0	0.0	96.3644979964	57.9401640197
292090925.774	604468.973	7.22573085913e-08	2.91961269316e-08	2.0	0.0	71.6852953879	44.1732325829
293299863.72	604468.973	7.2756286555e-08	2.94589069006e-08	2.0	0.0	97.7673792938	50.1319402477
294508801.666	604468.9735	8.06302376987e-08	2.61845575134e-08	2.0	0.0	80.1017876019	55.9568457766
295717739.613	604468.973	7.92002065045e-08	2.56591832083e-08	2.0	0.0	108.281618213	56.143366475
296926677.559	604468.9735	7.61552115002e-08	2.80878067234e-08	2.0	0.0	121.501939929	59.0245398606
298135615.506	604468.973	1.03867778346e-07	3.15438982563e-08	2.0	0.0	147.195041309	77.0910537385
299344553.452	604468.973	8.46106221979e-08	2.97266663842e-08	2.0	0.0	90.6856539844	61.4240213558
300553491.398	604468.9735	1.66079176242e-07	3.25899603323e-08	2.0	0.0	298.266321829	125.1528091
301762429.345	604468.973	1.09965117266e-07	4.09838898847e-08	2.0	0.0	112.345524643	74.652655457
302971367.291	604468.973	1.01031236488e-07	2.60655494072e-08	2.0	0.0	143.909441764	77.2135160033
304180305.238	604468.9735	1.11826055838e-07	2.66959798607e-08	2.0	0.0	220.267845368	86.7581142039
305389243.184	604468.973	1.84121213862e-07	3.27403812183e-08	2.0	0.0	191.467115401	121.095142702
